,Pain point,Solution,Desireability,Viability,Feasibility,DVF Score,Note ,,
Học mới có đàn - A5,"Lo ngại con cả thèm chóng chán, sợ đầu tư xong bị phí (học trung tâm có kỷ luật, mà học trên app không có)",Mua gói trọn đời (đã tin vào chất lượng app),9,9,9,243,Đang test giải pháp ,,
"Đang học trung tâm - A5
Bố mẹ không hạnh phúc lắm (Nhiều tiền, đưa đón)","Lo lắng về cách học, con không quen, con không biết dùng,..","Tối ưu UI, UX
--
Customer service ",9,8,9,216,Kiệt,,Viết LO --> Bộ câu hỏi (Gọi vào T2)
Học mới có đàn - A5,"Không có niềm tin vào các phương pháp không có giáo viên, sợ con học sai với chuẩn xã hội
- Sợ sai tư thế
- Sợ sai tay
- Sợ sai kĩ thuật","Educate thị trường, thay đổi chuẩn mực xã hội
--
hybrid, thêm touchpoint giáo viên",9,8,8,192,Phúc Trương,,
Học mới có đàn - A5,"Nghi ngờ về tính sư phạm của app, cảm giác như app game, không có tính giáo dục","Educate thị trường, thay đổi chuẩn mực xã hội
--
Branding (tăng trust, giáo viên khuyên dùng,..)
--
PR",8,8,9,192,Quỳnh,,
Học mới có đàn - A5,"Lo ngại app này chất lượng không tốt, không chắc sau này học có ổn không, có phù hợp để con học lâu dài không","Mua gói tháng
gói ngắn hạn

Hoặc
Tạo cảm giác có thể tạo thói quen lâu dài cho con",9,9,7,189,Tú,,
"Đang học trung tâm - A5
Bố mẹ không hạnh phúc lắm (Nhiều tiền, đưa đón)","Nghi ngờ về tính sư phạm của app, cảm giác như app game, không có tính giáo dục của con","Educate thị trường, thay đổi chuẩn mực xã hội
--
Branding (tăng trust, giáo viên khuyên dùng,..)
--
PR",8,8,8,171,Tâm,,
Học mới có đàn - A5,"Sợ con tự học mà mình không có kiến thức để giúp con, hỗ trợ con, đồng hành cùng con","gói gia đình, học chung với con
--
phổ cập kiến thức cho phụ huynh, sổ liên lạc, hướng dẫn cách nói chuyện với con,.. 
--
",7,8,9,168,Tâm,,
"Đang học trung tâm - R1
Bố mẹ hạnh phúc (muốn học thêm)","Giáo viên kêu không nên học app, hư tay, chán lắm,..","Kết hợp với Giáo viên, trung tâm, như một giải pháp kết hợp, bổ trợ cho giáo viên
--
H2: Thêm giáo viên, FaQ, ...
--
H4, brand, PR",9,8,7,168,Phúc Trương,,
Học mới có đàn - A5,"Không có niềm tin vào các phương pháp không có giáo viên, sợ con không tự học được
Nghĩ là con và mình đều không có knowledge về học piano nói chung, cần có người guide","Trong app: segmentation, tutorial, hướng dẫn
--
Nhóm zalo giáo viên hướng dẫn
3 buổi 1-1 với giáo viên,...
live section, livestream
OMO ",9,7,7,147,,,
"Đang học trung tâm - A5
Bố mẹ không hạnh phúc lắm (Nhiều tiền, đưa đón)",Sợ conflict với chương trình học ở trung tâm,"FaQ, Sales script
--
Kết hợp với với trung tâm",8,7,7,131,,,
"Đang học trung tâm - A5
Bố mẹ không hạnh phúc lắm (Nhiều tiền, đưa đón)","Không có kiến thức nên không hiểu con đang ở trình độ nào, lo ngại app dạy không phù hợp với trình độ của con","test đầu vào, đề xuất lộ trình học cá nhân hóa (ref Elsa, Duolingo)
--
",7,7,7,114,,,
Học mới không đàn - A5,"Không biết mua đàn gì, không biết đàn nào là học được, ok",,9,8,3,72,,,
Học mới có đàn - A5,Học mới có đàn - A6,,8,8,3,64,,,
Học mới không đàn - A5,"Sợ đầu tư quá nhiều tiền mà lấy lại không được bao nhiêu, sợ con học không được",Bán combo 3tr học đàn + app: combo starter,,,,0,Chạy thử combo đàn + app giá rẻ,,