,,,,,,,,
,,,,,,,,
,,,,,,,,
,Tất cả assumption về nhóm trung niên tự học  ,,Hiện tượng users,Assumptions ,Concerns lớn nhất ,Cần được đẩy thông tin gì ,Matching collected insights ,Content outcome 
,Tệp trên 50 (cô chú),,,,,,,
,A0-A2,,"Nhiều thời gian rảnh 
Pain point -> không có hoạt động buồn chán 
Desire -> tìm hoạt động hàng ngày ý nghĩa phù hợp ability già ","Học Piano fullfill được pain point đó dễ 
Highly competitive với các alternative khác ","Có vô vàn hoạt động -> cái nào tiện mình nhất 
Làm gì bây giờ ?",,,
,A3-A4 ,"Tin mình học được đàn, hứng thú, muốn tìm hiểu thêm về các cách học ","Motivation 
Ability 
Pain Point ",,"Đâu mới là cách học hợp mình
Không biết bắt đầu từ đâu ??? ",,"Trung niên _H4 -> người giống mình đã theo học dược cách này, mình cũng theo được","AnhLoc, ChiThu, ... "
,A5 ,"Tìm các cách học, so sánh thêm thông tin ","Không chủ động tìm thông tin -> Receiver 
Thiếu thông tin về cách học qua app, cần educate nhiều về cách học qua app",,(không chủ động tìm hiểu) ,,,
,A6 ,"Biết cách học đàn qua app Simpia 
Hiểu là học khác với truyền thống ","Cần giải thích trực tiếp, educate phức tạp, nhờ con cái, không tự học thử được",,"Công nghệ khó mình không thao tác được
Hướng dẫn online không nhớ được 
Sợ lừa, trực tiếp tin hơn ","Một nhóm 50+ cần hưỡng dẫn trực tiếp tại nhà, và support 1-1 after-purchase, để học cách dùng các tính năng ",,
,,,,,"Nhóm 50+ không quen điền thông tin LDP, CVR1 trên form cao hơn LDP ",,,
,A7,So sánh Simpia với cách học khác ,"Ability cao 
Motivation cao","Thấy mình học được là duyệt
-> không so sánh nữa, do motivation ability cao ",Học có dễ với tôi không ? ,Hướng dẫn học thử ,,
,Tệp từ 35-50 (anh chị/ gia đình),,,,,,,
,A0-A2,"Postive về việc học Piano, học cũng vui ","Thích các content về đàn/ âm nhạc để giải trí, không nhìn thấy mình trong bức tranh đó 
Blocker: Cuộc sống rất bận, đầu tư con cái, có những investment priority khác ",,Ước mơ về cuộc sống thứ 2 không có thật -> lúc mình đàn được như vậy ,,,
,,,,,"Nhóm 35-50 bận rộn sẽ ưu tiên đầu tư kỹ năng cho con cái nhiều hơn mình -> nghĩ việc học đàn chưa bao giờ cho mình 
* đặc biệt vào dịp hè 
* đặc biệt ở vùng miền Bắc ",,,
,A3-A4 ,"Tin mình học được, muốn tìm hiểu thêm ",,,,,,
,A5 ,"Đang tìm hiểu, quan tâm 
Biết có cách học qua app Simpia ","Comment nhiều (tư vấn, quan tâm, ...) -> không bấm link tìm hiểu thêm 
","Không chủ động tìm thông tin -> Receiver 
Thiếu thông tin về cách học qua app, cần educate nhiều về cách học qua app",,,,
,A6 ,Tự chọn lọc ra một nhóm cách hợp nhất ,Cho học thử trước rồi nhận thông tin khác sau ,,,,,
,A7-R1,So sánh giữa các hình thức ,"Mãi mới học thử 
Sale Cycle dài ","
Motivation thay đổi liên tục (nhiều việc phải nghĩ) 
-> độ trì cao ","Giá x Duy trì 
Cách học ","Gửi thông tin gợi nhớ liên tục 
Promotion để trigger consideration 
Khi nào motivation lên thì học thử -> sale ",,
,,,,,,,,
,A8-R1 ,(nếu đã có một số lượng nhất định rồi -> idea làm sách tặng hướng dẫn học những bài này,,,,,,
,,từ painpoint là họ thấy học khó:,,,,,,
,,"thấy có vẻ khó -> không tìm hiểu kỹ, motivation tìm hiểu thấp, cần người chỉ",,,,,,
,,nhanh -> tốc độ bài nhanh,,,,,,
,,"sợ tự học khó theo -> lo mình tự không được, cần hướng dẫn rất chi tiết, mà cũng dễ theo dõi hướng dẫn đó",,,,,,