,,,,,,,,,,,
VOI CONTENT FORMAT ,,,,,,,,,,,
,Nhân vật,Học viên ,,,,,Simpia ,,,,
,,Ngôi thứ 1: Học viên kể về học viên,,Ngôi thứ 2: Học viên nói với người xem,Ngôi thứ 3: Người khác là ___ kể về học viên,,Ngôi thứ 1: Simpia kể về Simpia,Ngôi thứ 2: Simpia kể cho người xem,Ngôi thứ 3: Người khác là ___ kể về Simpia,,
,,HN 1.1: Học viên có nói (có lời),HN 1.2: Học viên không nói (chỉ text),"HN 2.1: ""Tôi - bạn""",HN 3.1: Simpia,HN 3.2: Người xung quanh ,SN 1.1. ,"SN 2.1: ""Simpia - bạn""",SN 3.1: Học viên,SN 3.2: Non-brand kể về Simpia,"SN 3.3: Brand kể về Simpia
Influencer/ Giáo viên/ Model ..."
Caption ngắn,Video ngắn,"Phỏng vấn (Interview) 
VD: Chi Thu, Anh Hiếu ","Kể chuyện / Storytelling 
VD: Anh Lộc, Chị Hảo ","UGC (tiktok, capcut, ...) 
VD: Ông Huân kể về ông học ntn (trong đó có Simpia) 
thuê diễn viên ","Kể chuyện (phóng sự) 
VD: Anh B đã học cùng Simpia, ... ","Phỏng vấn (Interview) 
VD: Mẹ Bé Mỹ Kỳ ",,"Branding 
VD: Simpia đạt top 3 ứng dụng giáo dục 

Tutor (tính năng, gameplay, ...) 
VD: FK_H2

UGC (tiktok) 
VD: Các video quay chị Quỳnh nói ","Phỏng vấn (Interview) 
VD: Chị Thu, Anh Hiếu ",,"Review/ Stream 
VD: Hiển Râu, Mây Piano, Haketu (KOL, KOC) 

Thời sự/ báo viết "
Caption ngắn,Video dài,Phỏng vấn (Interview) ,Kể chuyện / Storytelling ,Vlog,,Short Movie ,Livestream ,"Video giới thiệu tính năng/ app tutorial 
VD: Chị Khanh_Tutor/ Course ","UGC content
(như campaign koc/ kol lần trước) 
Quay quá trình/ mọi content relate to Simpia ",,"Video hướng dẫn học/ Tips học 
VD: Chị Cindy (giáo viên)

Chia sẻ thông tin hữu ích 
VD: Cô Bông My (giáo viên) "
Caption ngắn,Ảnh text nhiều,,,"Blog
VD: Anh Thủy_Blog ",Short story,"Blog 
VD: Mẹ chia sẻ về quá trình dạy con thành công ","Liệt kê thông tin khóa học 
VD: CTA_LophocAI ","Infographic 
VD: Lộ trình học chi tiết cho bạn, so sánh, trước - sau ",,,
Caption ngắn,"Ảnh text ít, hình nhiều",,"Ảnh Testimonials 
VD: Testimonials_H4 ",,,,"Thông báo mới 
VD: Giảm giá, bài mới, tính năng mới, học bổng, ... ","Poster (ảnh rất đẹp) 
VD: Thư gửi học viên tương lai, partnership ",,,
Caption dài,Video ngắn,Phỏng vấn (Interview) ,"Kể chuyện / Storytelling 
VD: Nấu ăn cho em ",Kể chuyện ,,,,,,,
Caption dài,Video dài,Phỏng vấn (Interview) ,Kể chuyện / Storytelling ,Kể chuyện ,,,,,,,
Caption dài,Ảnh text nhiều,,,,,,,,,,
Caption dài,"Ảnh text ít, hình nhiều",,,,,,,,,,
Chú thích ,có winning ,,,,,,,,,,
,đang test ,,,,,,,,,,
,"đã chạy, có learning ",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
H1 ,Targeting (những người xem được ads đó) ,,,,,,,,,,
H2,"Liệt kê tính năng SA, SB ",,,,,,,,,,
H3 ,Chỉ ra con đường + estimate values ,,,,,,,,,,
H4 ,Kết quả thật được kiểm chứng ,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Bảng định nghĩa các thể loại format content ở trên ,,,,,,,,,,,
Kể chuyện ,,,,,,,,,,,
Phỏng vấn ,,,,,,,,,,,
Blog ,,,,,,,,,,,
Vlog ,,,,,,,,,,,
Livestream ,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Learning về format ,,,,,,,,,,,
"Tệp như thế nào, trong occasion nào thì tương tác với tốt với loại format nào ? ",Chia các chiều occassion gồm nhũng chiều nào ?,,,,,,,,,,